n,h_100Hz,h_330Hz,h_1kHz,h_3_3kHz,h_10kHz
-1.000000000000000000e+03,-1.797422944933248690e-05,3.015286700948412320e-05,-3.763939013026593232e-05,9.477274113602887021e-07,2.451302515875400731e-05
-9.990000000000000000e+02,-1.853733034134030333e-05,2.855593317804175059e-05,-3.445600935879993915e-05,4.507736711720480220e-06,1.992966981037801505e-05
-9.980000000000000000e+02,-1.908526274188447380e-05,2.684985807750200389e-05,-2.890021923953885091e-05,2.240762703284906180e-05,-1.272003128927742666e-06
-9.970000000000000000e+02,-1.961757071260966347e-05,2.505383387300003060e-05,-2.129389494723920120e-05,3.731856178546055574e-05,-2.146092999861171828e-05
-9.960000000000000000e+02,-2.013380697804059908e-05,2.318775202592913593e-05,-1.214392088119536872e-05,3.290048497500525050e-05,-2.381050914169841355e-05
-9.950000000000000000e+02,-2.063353315810497290e-05,2.127203084117936110e-05,-2.097282218974087356e-06,7.778465849277536526e-06,-6.319681313377836946e-06
-9.940000000000000000e+02,-2.111632000116718544e-05,1.932743821432269472e-05,8.116893952661397452e-06,-2.281208864014325102e-05,1.648407647432634598e-05
-9.930000000000000000e+02,-2.158174761767170795e-05,1.737491104049621022e-05,1.775302790052071106e-05,-3.915433986242152219e-05,2.560814853907631225e-05
-9.920000000000000000e+02,-2.202940571448184880e-05,1.543537277800761376e-05,2.611645899589953138e-05,-3.293205360644938721e-05,1.340962754702409257e-05
-9.910000000000000000e+02,-2.245889382999008896e-05,1.352955067918134250e-05,3.262628081487928006e-05,-1.369275642234159156e-05,-1.000418124172894036e-05
-9.900000000000000000e+02,-2.286982157006154889e-05,1.167779420838527249e-05,3.686782311752941543e-05,-5.275385499185348116e-07,-2.514825720593460762e-05
-9.890000000000000000e+02,-2.326180884485981986e-05,9.899896162527323877e-06,3.862990523305549919e-05,-5.896335533614116488e-06,-1.937165701710888841e-05
-9.880000000000000000e+02,-2.363448610659176500e-05,8.214917992483020484e-06,3.792337942963468005e-05,-2.508056552197579956e-05,2.576754206449864862e-06
-9.870000000000000000e+02,-2.398749458819221183e-05,6.641020795079271031e-06,3.497920267804072387e-05,-4.008348338361039014e-05,2.245075449868261046e-05
-9.860000000000000000e+02,-2.432048654295642726e-05,5.195303404508867014e-06,3.022616313784611897e-05,-3.477276023305742654e-05,2.367178023365886782e-05
-9.850000000000000000e+02,-2.463312548511370709e-05,3.893648959725409727e-06,2.425027001862245149e-05,-8.666081037328885587e-06,5.155287544094730609e-06
-9.840000000000000000e+02,-2.492508643131891217e-05,2.750581260757292105e-06,1.773951845021559356e-05,2.216491186957392234e-05,-1.772992514922789583e-05
-9.830000000000000000e+02,-2.519605614302554894e-05,1.779132152469774844e-06,1.141910682346336296e-05,3.791268564109565573e-05,-2.591486847400324630e-05
-9.820000000000000000e+02,-2.544573336968625210e-05,9.907210896094735043e-07,5.983085443332151446e-06,3.098778475524163804e-05,-1.251585791849701259e-05
-9.810000000000000000e+02,-2.567382909271200215e-05,3.950479425753472150e-07,2.028767329596386078e-06,1.187192807370909223e-05,1.137808574683117662e-05
-9.800000000000000000e+02,-2.588006677010560821e-05,2.371692252312040949e-20,6.098637220230962441e-20,-5.014435047745458007e-19,2.588006677010602495e-05
-9.790000000000000000e+02,-2.606418258166673824e-05,-1.884259873922441248e-07,1.446001893133191897e-07,7.254658923259443165e-06,1.885334945648622001e-05
-9.780000000000000000e+02,-2.622592567465187029e-05,-1.661859961877285626e-07,2.489962982476782625e-06,2.783612902623938529e-05,-3.933980337876569917e-06
-9.770000000000000000e+02,-2.636505840975431715e-05,6.876544698187751921e-08,6.839189884102019859e-06,4.299895979761383382e-05,-2.354185671894341744e-05
-9.760000000000000000e+02,-2.648135660725321042e-05,5.164462782036955356e-07,1.278818925668724845e-05,3.677363413787728156e-05,-2.359691306551501682e-05
-9.750000000000000000e+02,-2.657460979316424637e-05,1.174835077704078601e-06,1.976226103508959563e-05,9.599158424793073868e-06,-3.961644744422500882e-06
-9.740000000000000000e+02,-2.664462144520761836e-05,2.039876613872974517e-06,2.706886480812027652e-05,-2.153893914902561615e-05,1.907481917223998347e-05
-9.730000000000000000e+02,-2.669120923839208412e-05,3.105504802173896298e-06,3.396175435330736766e-05,-3.668269005847441769e-05,2.630664014138524463e-05
-9.720000000000000000e+02,-2.671420528999804281e-05,4.363682988189562535e-06,3.971058403562271783e-05,-2.897980648874889969e-05,1.161974475493465706e-05
-9.710000000000000000e+02,-2.671345640372520044e-05,5.804461320797708049e-06,4.366955489301762764e-05,-9.919096224931346072e-06,-1.284146358515878918e-05
-9.700000000000000000e+02,-2.668882431275467105e-05,7.416050839097964545e-06,4.533872314719189988e-05,6.473999951378444696e-07,-2.671334966867303445e-05
-9.690000000000000000e+02,-2.664018592145886441e-05,9.184913756392791480e-06,4.441223928662989284e-05,-8.595371731271813672e-06,-1.836159539029200285e-05
-9.680000000000000000e+02,-2.656743354547682023e-05,1.109586928734978311e-05,4.080896523113702185e-05,-3.070128172305553165e-05,5.363880750045544385e-06
-9.670000000000000000e+02,-2.647047514985628470e-05,1.313221423160884462e-05,3.468252425622945644e-05,-4.608873557663378649e-05,2.474447223865176675e-05
-9.660000000000000000e+02,-2.634923458494927253e-05,1.527585739958218171e-05,2.640972709436432495e-05,-3.891383207459477055e-05,2.357748216559753642e-05
-9.650000000000000000e+02,-2.620365181973213734e-05,1.750746684515606624e-05,1.655831487476263955e-05,-1.058080087378316801e-05,2.718670973596600417e-06
-9.640000000000000000e+02,-2.603368317220607192e-05,1.980662875639244386e-05,5.836881237256853834e-06,2.092378626921290126e-05,-2.053361309065612872e-05
-9.630000000000000000e+02,-2.583930153652053621e-05,2.215201675020156148e-05,-4.968496113334108476e-06,3.543630237805539237e-05,-2.678052147840230746e-05
-9.620000000000000000e+02,-2.562049660644726085e-05,2.452157022114593728e-05,-1.506512574564650773e-05,2.686698049643851995e-05,-1.070292836549069035e-05
-9.610000000000000000e+02,-2.537727509481899592e-05,2.689268030898868075e-05,-2.372555608931148087e-05,7.797464764877355846e-06,1.441268611026444019e-05
-9.600000000000000000e+02,-2.510966094853500435e-05,2.924238197500629103e-05,-3.035376286618269865e-05,-1.429940703833178467e-06,2.765098254354459044e-05
-9.590000000000000000e+02,-2.481769555872120512e-05,3.154755061424646619e-05,-3.453950526831557936e-05,9.928393809955339219e-06,1.788125640283497907e-05
-9.580000000000000000e+02,-2.450143796562264897e-05,3.378510158035419753e-05,-3.609574426506438616e-05,3.369902029984836748e-05,-6.886939649515532432e-06
-9.570000000000000000e+02,-2.416096505779359552e-05,3.593219096193783931e-05,-3.507555482458675803e-05,4.937150332729967831e-05,-2.606717440685716068e-05
-9.560000000000000000e+02,-2.379637176513923241e-05,3.796641592503960350e-05,-3.176684291711094800e-05,4.119964086953590264e-05,-2.360284211232532912e-05
-9.550000000000000000e+02,-2.340777124535456920e-05,3.986601292554594933e-05,-2.666522624470753509e-05,1.161235420188803122e-05,-1.405369637371878166e-06
-9.540000000000000000e+02,-2.299529506329548180e-05,4.161005209844973005e-05,-2.042746622996006089e-05,-2.030728848095298669e-05,2.211999767575879933e-05
-9.530000000000000000e+02,-2.255909336280743669e-05,4.317862614797667422e-05,-1.380965990596452810e-05,-3.414117125522887400e-05,2.733129837602416796e-05
-9.520000000000000000e+02,-2.209933503053167466e-05,4.455303209363591381e-05,-7.595843866135283724e-06,-2.460342665845106338e-05,9.745573461482104574e-06
-9.510000000000000000e+02,-2.161620785119947925e-05,4.571594427222633414e-05,-2.523591961226269421e-06,-5.466583186167223033e-06,-1.610956127363335905e-05
-9.500000000000000000e+02,-2.110991865391878840e-05,4.665157705443789555e-05,7.864858455683483205e-07,2.365561229831175352e-06,-2.869370547591862744e-05
-9.490000000000000000e+02,-2.058069344895388457e-05,4.734583580667830441e-05,1.890748731142143367e-06,-1.126061761986288335e-05,-1.739527346900367986e-05
-9.480000000000000000e+02,-2.002877755449077691e-05,4.778645471361720934e-05,5.663664752914257419e-07,-3.684777528013648404e-05,8.523731645718629250e-06
-9.470000000000000000e+02,-1.945443571288037765e-05,4.796312017419085817e-05,-3.165211046519183168e-06,-5.286018747395859036e-05,2.751671405916729301e-05
-9.460000000000000000e+02,-1.885795219584651290e-05,4.786757859274680101e-05,-9.037503164321980428e-06,-4.363225922183307725e-05,2.366013598925476957e-05
-9.450000000000000000e+02,-1.823963089814348727e-05,4.749372750688978043e-05,-1.656121978763681698e-05,-1.269287682110938980e-05,-8.565630690908602861e-20
-9.440000000000000000e+02,-1.759979541914878561e-05,4.683768912356825334e-05,-2.506757468260168624e-05,1.967599087619307152e-05,-2.384630989801084962e-05
-9.430000000000000000e+02,-1.693878913187448951e-05,4.589786547403995338e-05,-3.376883463953126173e-05,3.276119268243387163e-05,-2.795143438506808055e-05
-9.420000000000000000e+02,-1.625697523888118586e-05,4.467497454555636799e-05,-4.183061477821954058e-05,2.213911656202129872e-05,-8.726501090476943652e-06
-9.410000000000000000e+02,-1.555473681458311214e-05,4.317206690178653243e-05,-4.844929290321048495e-05,2.882833200708237177e-06,1.794912961529883088e-05
-9.400000000000000000e+02,-1.483247683343113808e-05,4.139452246395379774e-05,-5.292738446430292646e-05,-3.474677903137542850e-06,2.984001673691781304e-05
-9.390000000000000000e+02,-1.409061818346889439e-05,3.935002728916086126e-05,-5.473984862279832026e-05,1.259569058811750095e-05,1.688474892898885244e-05
-9.380000000000000000e+02,-1.332960366475850782e-05,3.704853035007679756e-05,-5.358507874977801622e-05,4.016087287545639858e-05,-1.029472081099667548e-05
-9.370000000000000000e+02,-1.254989597217899342e-05,3.450218048974850230e-05,-4.941570029542395874e-05,5.656128353442329182e-05,-2.909786775656884704e-05
-9.360000000000000000e+02,-1.175197766210889790e-05,3.172524389533994441e-05,-4.244613329402005427e-05,4.620718719303568969e-05,-2.373432013224668023e-05
-9.350000000000000000e+02,-1.093635110251057017e-05,2.873400260373350587e-05,-3.313600958142125740e-05,1.381861620725519002e-05,1.519741872943132531e-06
-9.340000000000000000e+02,-1.010353840594192541e-05,2.554663471866847529e-05,-2.215077073456967168e-05,-1.901567265326657282e-05,2.572334707510969462e-05
-9.330000000000000000e+02,-9.254081345035198065e-06,2.218307718208704690e-05,-1.030290513555756342e-05,-3.125712642660880838e-05,2.863103572511452465e-05
-9.320000000000000000e+02,-8.388541249987383180e-06,1.866487210010660738e-05,1.520887487374830024e-06,-1.942055254263368063e-05,7.623334205139627259e-06
-9.310000000000000000e+02,-7.507498887624922696e-06,1.501499777524998769e-05,1.243996081931451241e-05,1.395910297075086959e-18,-1.994745970694097501e-05
-9.300000000000000000e+02,-6.611554321614326041e-06,1.125768573977671381e-05,2.166002313082216404e-05,4.779926005627167720e-06,-3.108608055461172122e-05
-9.290000000000000000e+02,-5.701326753405152700e-06,7.418225218969217634e-06,2.854601266846774657e-05,-1.393386697080152944e-05,-1.632904416323028207e-05
-9.280000000000000000e+02,-4.777454343509222310e-06,3.522756576682059299e-06,3.268070882247776254e-05,-4.364606555458115417e-05,1.222005449893055888e-05
-9.270000000000000000e+02,-3.840594012733640650e-06,-4.019445927206711884e-07,3.390350592449776124e-05,-6.047426296354532500e-05,3.081329564450187899e-05
-9.260000000000000000e+02,-2.891421223002054878e-06,-4.328690962937863454e-06,3.232557179675701019e-05,-4.891366493510490603e-05,2.380820532428781460e-05
-9.250000000000000000e+02,-1.930629737420881747e-06,-8.230112716470567620e-06,2.831977657722845108e-05,-1.498250146443220400e-05,-3.176532658904799413e-06
-9.240000000000000000e+02,-9.589313592600666212e-07,-1.207889060871364761e-05,2.248611130587940441e-05,1.831189707878814018e-05,-2.776018641669383057e-05
-9.230000000000000000e+02,2.294435045545236785e-08,-1.584799088154585767e-05,1.559560494777449015e-05,2.958727368481650193e-05,-2.935783210150058782e-05
-9.220000000000000000e+02,1.014250377030255869e-06,-1.951090001376916413e-05,8.517779687333117418e-06,1.639152617934489984e-05,-6.412656229939107933e-06
-9.210000000000000000e+02,2.014222578123389487e-06,-2.304185727362267330e-05,2.138266074916560689e-06,-3.230075673525223905e-06,2.211944429410794618e-05
-9.200000000000000000e+02,3.022080031952005661e-06,-2.641608303366832253e-05,-2.725819566030528179e-06,-6.305826142804422962e-06,3.242564871055126843e-05
-9.190000000000000000e+02,4.037025407891089673e-06,-2.961000082079599609e-05,-5.404850325338097253e-06,1.527193307212222173e-05,1.570589266612078364e-05
-9.180000000000000000e+02,5.058245359661852084e-06,-3.260145110415042796e-05,-5.442579947595023270e-06,4.730513877752759818e-05,-1.431935308544399480e-05
-9.170000000000000000e+02,6.084910941271701649e-06,-3.536989487133260663e-05,-2.642659149342237797e-06,6.459105306479038741e-05,-3.266340998538724209e-05
-9.160000000000000000e+02,7.116178045848279384e-06,-3.789660510821052510e-05,2.908770999222399026e-06,5.173417056120077260e-05,-2.386251449806092506e-05
-9.150000000000000000e+02,8.151187867476440064e-06,-4.016484437967457591e-05,1.084677237179586189e-05,1.617366134641420929e-05,4.993222793988062127e-06
-9.140000000000000000e+02,9.189067386122872183e-06,-4.216002680731766690e-05,2.055752669782335570e-05,-1.755057844743420476e-05,2.996401117080564378e-05
-9.130000000000000000e+02,1.022892987570393909e-05,-4.386986285461915824e-05,3.123196704991848224e-05,-2.770820781873799724e-05,3.011717374773473246e-05
-9.120000000000000000e+02,1.126987543531945786e-05,-4.528448546005541041e-05,4.193837721798784760e-05,-1.299394909861238388e-05,5.070181905360492217e-06
-9.110000000000000000e+02,1.231099154364812238e-05,-4.639655620272159660e-05,5.170739344990464651e-05,6.856769602497131042e-06,-2.447859839332830164e-05
-9.100000000000000000e+02,1.335135363646912553e-05,-4.720135034249040810e-05,5.962161677406478135e-05,8.078376637977573724e-06,-3.384999670602107589e-05
-9.090000000000000000e+02,1.439002570723885953e-05,-4.769681974628570917e-05,6.490153087310625171e-05,-1.660320871102811182e-05,-1.499152812303128686e-05
-9.080000000000000000e+02,1.542606093062586495e-05,-4.788363289242846270e-05,6.697967562890592736e-05,-5.113360050059114007e-05,1.661149683348781724e-05
-9.070000000000000000e+02,1.645850230886787796e-05,-4.776519133478607601e-05,6.555603445943662710e-05,-6.889560079952685183e-05,3.464625536600842955e-05
-9.060000000000000000e+02,1.748638334078571804e-05,-4.734762220615269541e-05,6.062926861995946522e-05,-5.464398666428574709e-05,2.387595690969325924e-05
-9.050000000000000000e+02,1.850872871325478391e-05,-4.663974654426620328e-05,5.250062491296892845e-05,-1.737697707755623763e-05,-6.992630004401272300e-06
-9.040000000000000000e+02,1.952455501489762526e-05,-4.565302343248294864e-05,4.174985603621067661e-05,1.671855693227473043e-05,-3.233994455090008366e-05
-9.030000000000000000e+02,2.053287147173000086e-05,-4.440147015860367654e-05,2.918509445755761280e-05,2.557554924882310437e-05,-3.089204501950704488e-05
-9.020000000000000000e+02,2.153268070445723092e-05,-4.290155880791685170e-05,1.577106978446092669e-05,9.168747928504166917e-06,-3.570939609505468589e-06
-9.010000000000000000e+02,2.252297950707960803e-05,-4.117208991830342596e-05,2.542126179666071104e-06,-1.092987636985422203e-05,2.703686060141196546e-05
-9.000000000000000000e+02,2.350275964643537159e-05,-3.923404403445544813e-05,-9.492016373572484075e-06,-1.012457439856713186e-05,3.534787516015969248e-05
-8.990000000000000000e+02,2.447100868226886259e-05,-3.711041220293594394e-05,-1.943905029452544953e-05,1.791762681230003309e-05,1.416082700289249609e-05
-8.980000000000000000e+02,2.542671080737906157e-05,-3.482600664820776991e-05,-2.660675217647251404e-05,5.512045912869383197e-05,-1.911441111139260959e-05
-8.970000000000000000e+02,2.636884770736793693e-05,-3.240725305994619066e-05,-3.056772166546643365e-05,7.336352854083057727e-05,-3.675740152278588651e-05
-8.960000000000000000e+02,2.729639943946931497e-05,-2.988196610225039523e-05,-3.119995915539132544e-05,5.761084446817057449e-05,-2.382531864999816879e-05
-8.950000000000000000e+02,2.820834532990631105e-05,-2.727910992395238431e-05,-2.869924103740723493e-05,1.857267917842388719e-05,9.197326453029419302e-06
-8.940000000000000000e+02,2.910366488918847132e-05,-2.462854560455236418e-05,-2.356183995432491185e-05,-1.580417191879824492e-05,3.489089258848704963e-05
-8.930000000000000000e+02,2.998133874472261009e-05,-2.196076761070870644e-05,-1.653889100235962089e-05,-2.314477490420057434e-05,3.166309477254628820e-05
-8.920000000000000000e+02,3.084034959007812083e-05,-1.930663146236216750e-05,-8.566368101770834774e-06,-4.856814307398651125e-06,1.889464281453531931e-06
-8.910000000000000000e+02,3.167968315021153650e-05,-1.669707491401106313e-05,-6.769583023547655386e-07,1.549874893421670935e-05,-2.980439886806241718e-05
-8.900000000000000000e+02,3.249832916191795713e-05,-1.416283504431737543e-05,6.098115128073390253e-06,1.247186777365487745e-05,-3.690547701932884940e-05
-8.890000000000000000e+02,3.329528236874673062e-05,-1.173416371494159709e-05,1.082823838007417280e-05,-1.920189194542143343e-05,-1.318746508845787122e-05
-8.880000000000000000e+02,3.406954352957944625e-05,-9.440543906506393033e-06,1.277424374233505498e-05,-5.924809458232570822e-05,2.184485121691760002e-05
-8.870000000000000000e+02,3.482012044003770585e-05,-7.310409465045047175e-06,1.146232829201861362e-05,-7.796188893036115879e-05,3.898984966334989328e-05
-8.860000000000000000e+02,3.554602896585472716e-05,-5.370870795776924608e-06,6.733926525437028762e-06,-6.059465395777216708e-05,2.368556926225733576e-05
-8.850000000000000000e+02,3.624629408730919072e-05,-3.647449022096706771e-06,-1.233427171227406650e-06,-1.973599724527825167e-05,-1.162942064870682563e-05
-8.840000000000000000e+02,3.691995095379100342e-05,-2.163821086228399871e-06,-1.193655708208119165e-05,1.479782422996570620e-05,-3.761739701544711809e-05
-8.830000000000000000e+02,3.756604594753523154e-05,-9.415782040021435637e-07,-2.458783612687226463e-05,2.037205204376615818e-05,-3.240868366042698153e-05
-8.820000000000000000e+02,3.818363775552843130e-05,-1.355252715606880543e-20,-3.818363775552912248e-05,-3.144758716877801665e-19,1.022593310234407989e-18
-8.810000000000000000e+02,3.877179844856544174e-05,6.441534587590694804e-07,-5.159399027812782221e-05,-2.061138359818415146e-05,3.278942196898746244e-05
-8.800000000000000000e+02,3.932961456640009180e-05,9.768296416569273747e-07,-6.366531930396165636e-05,-1.514754597416398339e-05,3.850642107006862396e-05
-8.790000000000000000e+02,3.985618820790946836e-05,9.868496065058423314e-07,-7.332684264631605486e-05,2.043971755280481458e-05,1.204408727909593636e-05
-8.780000000000000000e+02,4.035063812516116293e-05,6.660503543432638859e-07,-7.969072647505271302e-05,6.349222606907241925e-05,-2.481818807352412966e-05
-8.770000000000000000e+02,4.081210082024794446e-05,9.401903586954960847e-09,-8.213657464326857150e-05,8.264902501161266860e-05,-4.133395309217899652e-05
-8.760000000000000000e+02,4.123973164372655666e-05,-9.849022961458831632e-07,-8.037217279380017856e-05,6.354732758526703831e-05,-2.342998413904752648e-05
-8.750000000000000000e+02,4.163270589347647428e-05,-2.315382771401869029e-06,-7.446452968821261386e-05,2.083687125867446783e-05,1.431033530746353230e-05
-8.740000000000000000e+02,4.199021991276699525e-05,-3.977240182036686773e-06,-6.483796138112516978e-05,-1.369251758144301678e-05,4.051749923183788147e-05
-8.730000000000000000e+02,4.231149218630270240e-05,-5.962350912956978350e-06,-5.223900386882164397e-05,-1.721508579514315616e-05,3.310494839061907607e-05
-8.720000000000000000e+02,4.259576443299320481e-05,-8.259292531977608124e-06,-3.767103668754638498e-05,5.457853580659676501e-06,-2.123288794128889902e-06
-8.710000000000000000e+02,4.284230269417587750e-05,-1.085339928459337080e-05,-2.230436489898464340e-05,2.631345938438185323e-05,-3.599799789497971653e-05
-8.700000000000000000e+02,4.305039841600047742e-05,-1.372684753058956019e-05,-7.369869377671767993e-06,1.817807064939283801e-05,-4.013175215713198725e-05
-8.690000000000000000e+02,4.321936952466785066e-05,-1.685877075862162675e-05,5.954031662914312727e-06,-2.161214051202176931e-05,-1.070248991693876733e-05
-8.680000000000000000e+02,4.334856149319989583e-05,-2.022540354562003318e-05,1.665062499583585848e-05,-6.782197901539259921e-05,2.804819607197688147e-05
-8.670000000000000000e+02,4.343734839840280356e-05,-2.380025356043100244e-05,2.396009303036441206e-05,-8.737454074018740269e-05,4.377735287185118950e-05
-8.660000000000000000e+02,4.348513396667420133e-05,-2.755430044801306772e-05,2.745158849898517162e-05,-6.641270429285026371e-05,2.303028227520396526e-05
-8.650000000000000000e+02,4.349135260729201181e-05,-3.145622017407458142e-05,2.706518246342312693e-05,-2.183973250698136671e-05,-1.726058238965919061e-05
-8.640000000000000000e+02,4.345547043181505415e-05,-3.547263316278210751e-05,2.311940943298596202e-05,1.248436965778327657e-05,-4.358661635980218523e-05
-8.630000000000000000e+02,4.337698625821579502e-05,-3.956837432430532160e-05,1.628330153646080888e-05,1.363396940779650142e-05,-3.372588287816778371e-05
-8.620000000000000000e+02,4.325543259836039809e-05,-4.370678284691772075e-05,7.515114537966289210e-06,-1.156986279365037137e-05,4.506098504241404829e-06
-8.610000000000000000e+02,4.309037662744588068e-05,-4.785000942218607174e-05,-2.026905873470603506e-06,-3.264734167475669873e-05,3.943388034296749667e-05
-8.600000000000000000e+02,4.288142113400131349e-05,-5.195933838369153198e-05,-1.109368497106843686e-05,-2.158835619320031532e-05,4.175995841395897237e-05
-8.590000000000000000e+02,4.262820544905863686e-05,-5.599552207152565383e-05,-1.846440876188872867e-05,2.269791057701258492e-05,9.133814807343159029e-06
-8.580000000000000000e+02,4.233040635309953496e-05,-5.991912458845606132e-05,-2.306448987098026179e-05,7.220005243565219468e-05,-3.154684432931539976e-05
-8.570000000000000000e+02,4.198773895938548629e-05,-6.369087199062664574e-05,-2.407132362108057344e-05,9.207938582228213326e-05,-4.630492916996040376e-05
-8.560000000000000000e+02,4.159995757228431641e-05,-6.727200585755828302e-05,-2.099775249303119991e-05,6.912657963871402238e-05,-2.245677886040885925e-05
-8.550000000000000000e+02,4.116685651921102388e-05,-7.062463711412288615e-05,-1.374511757874692799e-05,2.270336160943144739e-05,2.049953656422734963e-05
-8.540000000000000000e+02,4.068827095480702675e-05,-7.371209693226160326e-05,-2.620520971985466603e-06,-1.117308337279751968e-05,4.681743032223756280e-05
-8.530000000000000000e+02,4.016407763599491983e-05,-7.649928152315656682e-05,1.168379374024725527e-05,-9.592025990060969713e-06,3.424343613697536820e-05
-8.520000000000000000e+02,3.959419566655358479e-05,-7.895298764203288028e-05,2.814751509984234727e-05,1.838503801279709737e-05,-7.173761137160155916e-06
